word,meaning,meaning_vi,phonetics,note,example,type,level
become,to start to be something,"trở nên, trở thành",/bɪˈkʌm/,to start to be something,It soon became apparent that no one was going to come.,verb,A1
bed,a piece of furniture for sleeping on,giường,/bed/,a piece of furniture for sleeping on,I love to snuggle up in my comfortable bed after a long day.,noun,A1
bedroom,a room for sleeping in,phòng ngủ,/ˈbedruːm/ /ˈbedrʊm/,a room for sleeping in,I'm planning to redecorate my bedroom next weekend.,noun,A1
before,earlier than somebody/something,trước; trước đây,/bɪˈfɔː(r)/,earlier than somebody/something,I always make sure to double-check my work before submitting it.,preposition,A1
begin,to start doing something; to do the first part of something,"bắt đầu, khởi đầu",/bɪˈɡɪn/,to start doing something; to do the first part of something,"Let's begin the meeting, we have a lot to cover today.",verb,A1
beginning,"the time when something starts; the first part of an event, a story, etc.","phần mở đầu, lúc bắt đầu, lúc khởi đầu",/bɪˈɡɪnɪŋ/,"the time when something starts; the first part of an event, a story, etc.","A story has to have a beginning, middle, and end.",noun,A1
behind,"at or towards the back of somebody/something, and often hidden by it or them","sau, đằng sau",/bɪˈhaɪnd/,"at or towards the back of somebody/something, and often hidden by it or them",Who's the girl standing behind Jan?,preposition,A1
believe,to feel certain that something is true or that somebody is telling you the truth,"tin, tin tưởng",/bɪˈliːv/,to feel certain that something is true or that somebody is telling you the truth,I don't believe you!,verb,A1
below,"at or to a lower level, position or place",dưới,/bɪˈləʊ/,"at or to a lower level, position or place",They live on the floor below.,adverb,A1
best,of the most excellent type or quality,tốt nhất,/best/,of the most excellent type or quality,That's the best movie I've ever seen!,adjective,A1
better,of a higher standard or less poor quality; not as bad as something else,"hơn, tốt hơn, đúng đắn hơn",/ˈbetə(r)/,of a higher standard or less poor quality; not as bad as something else,We're hoping for better weather tomorrow.,adjective,A1
between,"at some point along a scale from one amount, weight, distance, etc. to another",ở giữa,/bɪˈtwiːn/,"at some point along a scale from one amount, weight, distance, etc. to another",Q comes between P and R in the English alphabet.,preposition,A1
bicycle,a road vehicle with two wheels that you ride by pushing the pedals with your feet,xe đạp,/ˈbaɪsɪkl/,a road vehicle with two wheels that you ride by pushing the pedals with your feet,He got on his bicycle and rode off.,noun,A1
bike,a bicycle,xe đạp,/baɪk/,a bicycle,I used to ride my bike around the neighbourhood for hours.,noun,A1
bill,a document that shows how much you owe somebody for goods or services,hóa đơn,/bɪl/,a document that shows how much you owe somebody for goods or services,The waiter brought us the bill after we finished our meal.,noun,A1
bird,a creature that is covered with feathers and has two wings and two legs. Most birds can fly.,con chim,/bɜːd/,a creature that is covered with feathers and has two wings and two legs. Most birds can fly.,I woke up to the sound of birds chirping outside my window.,noun,A1
birthday,the day in each year which is the same date as the one on which you were born,"ngày sinh, sinh nhật",/ˈbɜːθdeɪ/,the day in each year which is the same date as the one on which you were born,Happy Birthday to you!,noun,A1
black,"having the very darkest colour, like coal or the sky at night",màu đen,/blæk/,"having the very darkest colour, like coal or the sky at night",She has a long black hair.,adjective,A1
blog,"a website where an individual person, or people representing an organization, write regularly about recent events or topics that interest them, usually with photos and links to other websites that they find interesting","website thông tin riêng, nhật ký trực tuyến",/blɒɡ/,"a website where an individual person, or people representing an organization, write regularly about recent events or topics that interest them, usually with photos and links to other websites that they find interesting",This is a link to the museum's blog.,noun,A1
blonde,with pale yellow or gold hair,"màu vàng mơ, tóc vàng",/blɒnd/,with pale yellow or gold hair,She had long blonde hair.,adjective,A1
blue,having the colour of a clear sky or the sea on a clear day,"màu xanh da trời, màu lam, màu lơ",/bluː/,having the colour of a clear sky or the sea on a clear day,The sun shone brilliantly in the clear blue sky.,adjective,A1
boat,"a vehicle (smaller than a ship) that travels on water, moved by oars, sails or a motor",thuyền,/bəʊt/,"a vehicle (smaller than a ship) that travels on water, moved by oars, sails or a motor",We took turns to row the boat up the river.,noun,A1
body,the whole physical structure of a human or an animal,"cơ thể của người hoặc động vật; thân thể, thể xác",/ˈbɒdi/,the whole physical structure of a human or an animal,The human body is a complex structure.,noun,A1
book,a set of printed pages that are fastened inside a cover so that you can turn them and read them,sách,/bʊk/,a set of printed pages that are fastened inside a cover so that you can turn them and read them,His desk was covered with piles of books.,noun,A1
boot,a strong shoe that covers the foot and ankle and often the lower part of the leg,"ủng, bốt (giày ống)",/buːt/,a strong shoe that covers the foot and ankle and often the lower part of the leg,Don't forget your boots and shin pads.,noun,A1
bored,feeling tired and impatient because you have lost interest in somebody/something or because you have nothing to do,"chán, nhàm chán, chán nản",/bɔːrd/,feeling tired and impatient because you have lost interest in somebody/something or because you have nothing to do,There was a bored expression on her face.,adjective,A1
boring,not interesting; making you feel tired and impatient,"nhàm chán, nhạt nhẽo",/ˈbɔːrɪŋ/,not interesting; making you feel tired and impatient,He's such a boring man!,adjective,A1
born,to come out of your mother’s body at the beginning of your life,được sinh ra,/bɔːn/,to come out of your mother’s body at the beginning of your life,I was born in 1976.,verb,A1
both,used with plural nouns to mean ‘the two’ or ‘the one as well as the other’,cả hai,/bəʊθ/,used with plural nouns to mean ‘the two’ or ‘the one as well as the other’,Both women were French.,"determiner, pronoun",A1
bottle,"a glass or plastic container, usually round with straight sides and a narrow neck, used especially for storing liquids","chai, lọ",/ˈbɒtl/,"a glass or plastic container, usually round with straight sides and a narrow neck, used especially for storing liquids",I drink a bottle of water every day.,noun,A1
box,"a container made of wood, thick card, metal, etc. with a flat stiff base and sides and often a lid (= cover), used especially for holding solid things",hộp,/bɒks/,"a container made of wood, thick card, metal, etc. with a flat stiff base and sides and often a lid (= cover), used especially for holding solid things",Everything we owned was neatly packed in cardboard boxes.,noun,A1
boyfriend,a man or boy that somebody has a romantic or sexual relationship with,bạn trai,/ˈbɔɪfrend/,a man or boy that somebody has a romantic or sexual relationship with,She's got a new boyfriend.,noun,A1
bread,"a type of food made from flour, water and usually yeast mixed together and baked",bánh mì,/bred/,"a type of food made from flour, water and usually yeast mixed together and baked",I eat bread with eggs for breakfast.,noun,A1
break,"to be damaged and separated into two or more parts, as a result of force; to damage something in this way","làm vỡ, đứt, gãy",/breɪk/,"to be damaged and separated into two or more parts, as a result of force; to damage something in this way",I accidentally broke the vase.,verb,A1
breakfast,the first meal of the day,"bữa ăn sáng, bữa điểm tâm",/ˈbrekfəst/,the first meal of the day,They were having breakfast when I arrived.,noun,A1
bring,to come to a place with somebody/something,"cầm theo, đem theo, mang theo, xách theo",/brɪŋ/,to come to a place with somebody/something,Don't forget to bring your books with you.,verb,A1
brother,a boy or man who has the same mother and father as another person,"anh, em trai",/ˈbrʌðə(r)/,a boy or man who has the same mother and father as another person,We're brothers.,noun,A1
brown,having the colour of earth or coffee,màu nâu,/braʊn/,having the colour of earth or coffee,He has brown eyes.,adjective,A1
build,"to make something, especially a building, by putting parts together","xây, xây dựng, xây cất, tạo lập",/bɪld/,"to make something, especially a building, by putting parts together",They have permission to build 200 new homes.,verb,A1
building,a structure such as a house or school that has a roof and walls,"công trình xây dựng, tòa nhà",/ˈbɪldɪŋ/,a structure such as a house or school that has a roof and walls,The new building is going to be 50 stories tall.,noun,A1
business,"the activity of making, buying, selling or supplying goods or services for money",việc buôn bán; việc kinh doanh; việc thương mại,/ˈbɪznəs/,"the activity of making, buying, selling or supplying goods or services for money",It's been a pleasure to do business with you.,noun,A1
busy,having a lot to do; perhaps not free to do something else because you are working on something,"bận rộn, bận",/ˈbɪzi/,having a lot to do; perhaps not free to do something else because you are working on something,Are you busy tonight?,adjective,A1
butter,"a soft yellow food made from cream, used in cooking and for spreading on bread",bơ,/ˈbʌtə(r)/,"a soft yellow food made from cream, used in cooking and for spreading on bread",I love spreading butter on my toast in the morning.,noun,A1
cafe,a place where you can buy drinks and simple meals,tiệm cà phê,/ˈkæfeɪ/,a place where you can buy drinks and simple meals,There are small shops and pavement cafes around every corner.,noun,A1
cake,"a sweet food made from a mixture of flour, eggs, butter, sugar, etc. that is baked in an oven. Cakes are made in various shapes and sizes and are often decorated, for example with cream or icing.",bánh ngọt,/keɪk/,"a sweet food made from a mixture of flour, eggs, butter, sugar, etc. that is baked in an oven. Cakes are made in various shapes and sizes and are often decorated, for example with cream or icing.",My elder sister likes eating cake.,noun,A1
call,to phone somebody,gọi (điện thoại),/kɔːl/,to phone somebody,I'll call again later.,verb,A1
camera,"a piece of equipment for taking photographs, moving pictures or television pictures. It can be a separate item or part of another device.","máy chụp ảnh, máy quay truyền hình",/ˈkæmrə/,"a piece of equipment for taking photographs, moving pictures or television pictures. It can be a separate item or part of another device.",I forgot my camera at home.,noun,A1
capital,"the most important town or city of a country or region, where the government operates from","thủ đô, thủ phủ",/ˈkæpɪtl/,"the most important town or city of a country or region, where the government operates from",Ha Noi is the capital of Viet Nam.,noun,A1
card,"a small, rectangular piece of card or plastic, often with your signature, photograph, or other information proving who you are, that allows you to do something, such as make a payment, get money from a bank, or enter a particular place",thẻ,/kɑːd/,"a small, rectangular piece of card or plastic, often with your signature, photograph, or other information proving who you are, that allows you to do something, such as make a payment, get money from a bank, or enter a particular place","The bank's closed now, but I can get some money out with my card.",noun,A1
career,"the series of jobs that a person has in a particular area of work, usually involving more responsibility as time passes","sự nghiệp, nghề nghiệp",/kəˈrɪə(r)/,"the series of jobs that a person has in a particular area of work, usually involving more responsibility as time passes",She has had a successful career in finance.,noun,A1
carrot,a long pointed orange root vegetable,"cà rốt (cây, củ)",/ˈkærət/,a long pointed orange root vegetable,Carrots are a great source of Vitamin A.,noun,A1
carry,to support the weight of somebody/something and take them or it from place to place; to take somebody/something from one place to another,"mang, vác, khuân, xách, chở, ẵm, bế",/ˈkæri/,to support the weight of somebody/something and take them or it from place to place; to take somebody/something from one place to another,He was carrying a big bag.,verb,A1
centre,the middle point or part of something,"điểm giữa, tâm, trung tâm",/ˈsentə(r)/,the middle point or part of something,He walked to the centre of the circle.,noun,A1
century,a period of 100 years,"(viết tắt c, cent) thế kỷ",/ˈsentʃəri/,a period of 100 years,"A century ago, Valparaiso was the country's main port.",noun,A1
chair,"a piece of furniture for one person to sit on, with a back, a seat and four legs",ghế tựa,/tʃeə(r)/,"a piece of furniture for one person to sit on, with a back, a seat and four legs",I need to buy a new chair for my desk because my old one is broken.,noun,A1
change,to become different,"làm thay đổi; thay đổi, đổi",/tʃeɪndʒ/,to become different,Rick hasn't changed. He looks exactly the same as he did at school.,verb,A1
chart,"a diagram, lists of figures, etc. that shows information","đồ thị, biểu đồ",/tʃɑːt/,"a diagram, lists of figures, etc. that shows information",The chart shows a steady increase in sales.,noun,A1
cheap,costing little money or less money than you expected,"rẻ, rẻ tiền",/tʃiːp/,costing little money or less money than you expected,I found a really cheap flight to Europe for only $300.,adjective,A1
check,"to examine something to see if it is correct, safe or acceptable","kiểm tra; kiểm lại, rà lại",/tʃek/,"to examine something to see if it is correct, safe or acceptable",She gave me the minutes of the meeting to read and check.,verb,A1
cheese,a type of food made from milk that can be either soft or hard and is usually white or yellow in colour; a particular type of this food,"phô mai, bánh phô mai",/tʃiːz/,a type of food made from milk that can be either soft or hard and is usually white or yellow in colour; a particular type of this food,I love to put cheese on my pizza.,noun,A1
chicken,a large bird that is often kept for its eggs or meat,gà,/ˈtʃɪkɪn/,a large bird that is often kept for its eggs or meat,They keep chickens in the back yard.,noun,A1
child,a young human who is not yet an adult,"trẻ con, đứa trẻ",/tʃaɪld/,a young human who is not yet an adult,The child was so excited to open their birthday presents.,noun,A1
chocolate,"a hard brown sweet food made from cocoa beans, used in cooking to add taste to cakes, etc. or eaten as a sweet",sô cô la,/ˈtʃɒklət/,"a hard brown sweet food made from cocoa beans, used in cooking to add taste to cakes, etc. or eaten as a sweet",I have a craving for chocolate right now.,noun,A1
choose,to decide which thing or person you want out of the ones that are available,"chọn, lựa",/tʃuːz/,to decide which thing or person you want out of the ones that are available,You choose - I can't decide.,verb,A1
cinema,a building in which films are shown,"(từ Mỹ movie house, movie theater) rạp chiếu phim",/ˈsɪnəmə/ /ˈsɪnəmɑː/,a building in which films are shown,Let's go to the cinema to see the new movie.,noun,A1
city,"a town that has been given special rights by a king or queen, usually one that has a cathedral",thành phố,/ˈsɪti/,"a town that has been given special rights by a king or queen, usually one that has a cathedral",Parking is difficult in the city centre.,noun,A1
classroom,a room where a class of children or students is taught,phòng học,/ˈklɑːsruːm/ /ˈklɑːsrʊm/,a room where a class of children or students is taught,The students are sitting quietly in the classroom.,noun,A1
clean,not dirty,"sạch, sạch sẽ; trong sạch",/kliːn/,not dirty,Are your hands clean?,adjective,A1
climb,to go up something towards the top,"trèo, leo",/klaɪm/,to go up something towards the top,I love to climb mountains and enjoy the view from the top.,verb,A1
clock,"an instrument for measuring and showing time, in a room, on the wall of a building or on a computer screen (not worn or carried like a watch)","đồng hồ (đồng hồ treo tường, đồng hồ để bàn, không phải thứ đeo tay; đồng hồ chỉ số kilômét đường đã đi, số tiền khách phải trả ở xe tắc xi…)",/klɒk/,"an instrument for measuring and showing time, in a room, on the wall of a building or on a computer screen (not worn or carried like a watch)",The clock struck twelve midnight.,noun,A1
close,to put something into a position so that it covers an opening; to get into this position,"đóng, khép",/kləʊz/,to put something into a position so that it covers an opening; to get into this position,He closed the door firmly.,verb,A1
clothes,"the things that you wear, such as trousers, dresses and jackets",quần áo,/kləʊðz/ /kləʊz/,"the things that you wear, such as trousers, dresses and jackets",I bought some new clothes for the trip.,noun,A1
club,an organization for people who share an interest or do a sport or activity together,"hội, câu lạc bộ",/klʌb/,an organization for people who share an interest or do a sport or activity together,I go to English club with my friends every afternoon.,noun,A1
coat,a piece of outdoor clothing that is worn over other clothes to keep warm or dry,"áo khoác,  áo choàng,  áo bành tô",/kəʊt/,a piece of outdoor clothing that is worn over other clothes to keep warm or dry,"It's cold outside, so I need to wear my coat.",noun,A1
coffee,the roasted seeds (called coffee beans) of a tropical bush; a powder made from them,cà phê; hạt cà phê; bột cà phê,/ˈkɒfi/,the roasted seeds (called coffee beans) of a tropical bush; a powder made from them,I can't start my day without a cup of coffee.,noun,A1
cold,having a lower than usual temperature; having a temperature lower than the human body,lạnh,/kəʊld/,having a lower than usual temperature; having a temperature lower than the human body,I'm cold. Turn the heating up.,adjective,A1
college,(in the UK) a place where students go to study or to receive training after they have left school,"trường đại học, trường cao đẳng",/ˈkɒlɪdʒ/,(in the UK) a place where students go to study or to receive training after they have left school,He studied engineering in college.,noun,A1
colour,"the appearance that things have that results from the way in which they reflect light. Red, orange and green are colours.","màu sắc, màu",/ˈkʌlə(r)/,"the appearance that things have that results from the way in which they reflect light. Red, orange and green are colours.",What's your favourite colour?,noun,A1
come,to move to or towards a person or place,"đến, tới, đi đến, đi tới, đi lại",/kʌm/,to move to or towards a person or place,Please come to the meeting at 2 pm in the conference room.,verb,A1
common,happening often; existing in large numbers or in many places,"phổ biến, phổ thông, thông thường",/ˈkɒmən/,happening often; existing in large numbers or in many places,"One of the most common phobias is arachnophobia, or the fear of spiders.",adjective,A1
company,a business organization that makes money by producing or selling goods or services,công ty,/ˈkʌmpəni/,a business organization that makes money by producing or selling goods or services,I work for a software company.,noun,A1
compare,to examine people or things to see how they are similar and how they are different,"so sánh, đối chiếu",/kəmˈpeə(r)/,to examine people or things to see how they are similar and how they are different,It's important to compare prices before making a purchase.,verb,A1
complete,to make whole or perfect,"hoàn thiện, hoàn thành",/kəmˈpliːt/,to make whole or perfect,It's a great feeling to finally complete a challenging task.,verb,A1
computer,"an electronic machine that can store, organize and find information, do processes with numbers and other data, and control other machines",máy tính,/kəmˈpjuːtə(r)/,"an electronic machine that can store, organize and find information, do processes with numbers and other data, and control other machines",I use my computer every day for work.,noun,A1
concert,a public performance of music,buổi hòa nhạc,/ˈkɒnsət/,a public performance of music,"I'm looking forward to the concert next week, it should be a great show.",noun,A1
conversation,an informal talk involving a small group of people or only two; the activity of talking in this way,"cuộc nói chuyện, cuộc chuyện trò",/ˌkɒnvəˈseɪʃn/,an informal talk involving a small group of people or only two; the activity of talking in this way,I had a great conversation with my friend last night.,noun,A1
cook,"to prepare food by heating it, for example by boiling, baking or frying it","nấu, nấu nướng",/kʊk/,"to prepare food by heating it, for example by boiling, baking or frying it",Where did you learn to cook?,verb,A1
cooking,the process of preparing food by heating it,"việc nấu nướng, cách nấu nướng",/ˈkʊkɪŋ/,the process of preparing food by heating it,My husband does all the cooking.,noun,A1
cool,fairly cold; not hot or warm,"mát mẻ, mát, hơi lạnh",/kuːl/,fairly cold; not hot or warm,The cool breeze on my face felt refreshing after spending the day in the sun.,adjective,A1
correct,"accurate or true, without any mistakes","đúng, chính xác",/kəˈrekt/,"accurate or true, without any mistakes",Do you have the correct answer?,adjective,A1
cost,"the amount of money that you need in order to buy, make or do something","phí tồn, chi phí",/kɒst/,"the amount of money that you need in order to buy, make or do something",The cost of living in this city is quite high.,noun,A1
country,an area of land that has or used to have its own government and laws,"nước, quốc gia",/ˈkʌntri/,an area of land that has or used to have its own government and laws,I would love to travel to a new country and experience a different culture.,noun,A1
course,a series of lessons or lectures on a particular subject,"giáo trình, khóa học",/kɔːs/,a series of lessons or lectures on a particular subject,I'm taking a course in computer programming to improve my skills.,noun,A1
cousin,a child of your aunt or uncle,anh/chị/em họ,/ˈkʌzn/,a child of your aunt or uncle,She's my cousin.,noun,A1
cow,a large animal kept on farms to produce milk or beef,bò sữa,/kaʊ/,a large animal kept on farms to produce milk or beef,The cow was grazing in the field when we drove by.,noun,A1
cream,"the thick white or pale yellow fatty liquid that rises to the top of milk, used in cooking or as a type of sauce to put on fruit, etc.",kem (lấy từ sữa),/kriːm/,"the thick white or pale yellow fatty liquid that rises to the top of milk, used in cooking or as a type of sauce to put on fruit, etc.",We had strawberries and cream for dessert.,noun,A1
create,to make something happen or exist,"tạo ra, sáng tạo",/kriˈeɪt/,to make something happen or exist,Scientists disagree about how the universe was created.,verb,A1
culture,"the customs and beliefs, art, way of life and social organization of a particular country or group",văn hóa,/ˈkʌltʃə(r)/,"the customs and beliefs, art, way of life and social organization of a particular country or group",I love learning about different cultures.,noun,A1
